design_id,format_family,format_key,format_text,niche,title,tags_etsy,price_etsy
viral_v2_blood_level_warning_knitting,medical,blood_level_warning,WARNING: Knitting levels critically high in bloodstream,knitting,WARNING: Knitting levels critically high in bloodstream — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, knitting lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_blood_level_warning_crochet,medical,blood_level_warning,WARNING: Crochet levels critically high in bloodstream,crochet,WARNING: Crochet levels critically high in bloodstream — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, crochet lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_blood_level_warning_embroidery,medical,blood_level_warning,WARNING: Embroidery levels critically high in bloodstream,embroidery,WARNING: Embroidery levels critically high in bloodstream — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, embroidery lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_blood_level_warning_reading,medical,blood_level_warning,WARNING: Reading levels critically high in bloodstream,reading,WARNING: Reading levels critically high in bloodstream — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, reading lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_blood_level_warning_gardening,medical,blood_level_warning,WARNING: Gardening levels critically high in bloodstream,gardening,WARNING: Gardening levels critically high in bloodstream — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, gardening lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_allergic_humans_knitting,medical,allergic_humans,Allergic to humans. Tolerant only of Knitting,knitting,Allergic to humans. Tolerant only of Knitting — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, knitting lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_allergic_humans_crochet,medical,allergic_humans,Allergic to humans. Tolerant only of Crochet,crochet,Allergic to humans. Tolerant only of Crochet — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, crochet lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_allergic_humans_embroidery,medical,allergic_humans,Allergic to humans. Tolerant only of Embroidery,embroidery,Allergic to humans. Tolerant only of Embroidery — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, embroidery lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_allergic_humans_reading,medical,allergic_humans,Allergic to humans. Tolerant only of Reading,reading,Allergic to humans. Tolerant only of Reading — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, reading lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_allergic_humans_gardening,medical,allergic_humans,Allergic to humans. Tolerant only of Gardening,gardening,Allergic to humans. Tolerant only of Gardening — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, gardening lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_cheaper_than_therapy_knitting,medical,cheaper_than_therapy,"Knitting: my daily therapy, cheaper than a shrink",knitting,"Knitting: my daily therapy, cheaper than a shrink — Funny Knitting Gift Print","knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, knitting lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_cheaper_than_therapy_crochet,medical,cheaper_than_therapy,"Crochet: my daily therapy, cheaper than a shrink",crochet,"Crochet: my daily therapy, cheaper than a shrink — Funny Crochet Gift Print","crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, crochet lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_cheaper_than_therapy_embroidery,medical,cheaper_than_therapy,"Embroidery: my daily therapy, cheaper than a shrink",embroidery,"Embroidery: my daily therapy, cheaper than a shrink — Funny Embroidery Gift Print","embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, embroidery lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_cheaper_than_therapy_reading,medical,cheaper_than_therapy,"Reading: my daily therapy, cheaper than a shrink",reading,"Reading: my daily therapy, cheaper than a shrink — Funny Reading Gift Print","reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, reading lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_cheaper_than_therapy_gardening,medical,cheaper_than_therapy,"Gardening: my daily therapy, cheaper than a shrink",gardening,"Gardening: my daily therapy, cheaper than a shrink — Funny Gardening Gift Print","gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, gardening lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
