design_id,expression,language,mood,title,tags_etsy,price_etsy
cultural_v2_fernweh,Fernweh,german,adventure,Fernweh — German Word Print Untranslatable Definition Art,"fernweh, german word, german art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, adventure aesthetic, typography poster",4.5
cultural_v2_zeitgeist,Zeitgeist,german,philosophical,Zeitgeist — German Word Print Untranslatable Definition Art,"zeitgeist, german word, german art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, philosophical aesthetic, typography poster",4.5
cultural_v2_mamma_mia,Mamma Mia,italian,joyful,Mamma Mia — Italian Word Print Untranslatable Definition Art,"mamma mia, italian word, italian art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, joyful aesthetic, typography poster",4.5
cultural_v2_ciao_bella,Ciao Bella,italian,joyful,Ciao Bella — Italian Word Print Untranslatable Definition Art,"ciao bella, italian word, italian art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, joyful aesthetic, typography poster",4.5
cultural_v2_voil,Voilà,french,elegant,Voilà — French Word Print Untranslatable Definition Art,"voilà, french word, french art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, elegant aesthetic, typography poster",4.5
cultural_v2_d_j_vu,Déjà vu,french,philosophical,Déjà vu — French Word Print Untranslatable Definition Art,"déjà vu, french word, french art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, philosophical aesthetic, typography poster",4.5
cultural_v2_joie_de_vivre,Joie de Vivre,french,joyful,Joie de Vivre — French Word Print Untranslatable Definition Art,"joie de vivre, french word, french art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, joyful aesthetic, typography poster",4.5
cultural_v2_sobremesa,Sobremesa,spanish,cozy,Sobremesa — Spanish Word Print Untranslatable Definition Art,"sobremesa, spanish word, spanish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, cozy aesthetic, typography poster",4.5
cultural_v2_mono_no_aware,Mono no aware,japanese,melancholic,Mono no aware — Japanese Word Print Untranslatable Definition Art,"mono no aware, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, melancholic aesthetic, typography poster",4.5
cultural_v2_shinrin_yoku,Shinrin-yoku,japanese,zen,Shinrin-yoku — Japanese Word Print Untranslatable Definition Art,"shinrin-yoku, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, zen aesthetic, typography poster",4.5
cultural_v2_friluftsliv,Friluftsliv,norwegian,adventure,Friluftsliv — Norwegian Word Print Untranslatable Definition Art,"friluftsliv, norwegian word, norwegian art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, adventure aesthetic, typography poster",4.5
cultural_v2_sisu,Sisu,finnish,strength,Sisu — Finnish Word Print Untranslatable Definition Art,"sisu, finnish word, finnish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, strength aesthetic, typography poster",4.5
cultural_v2_waldeinsamkeit,Waldeinsamkeit,german,zen,Waldeinsamkeit — German Word Print Untranslatable Definition Art,"waldeinsamkeit, german word, german art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, zen aesthetic, typography poster",4.5
cultural_v2_fl_ner,Flâner,french,elegant,Flâner — French Word Print Untranslatable Definition Art,"flâner, french word, french art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, elegant aesthetic, typography poster",4.5
cultural_v2_duende,Duende,spanish,passionate,Duende — Spanish Word Print Untranslatable Definition Art,"duende, spanish word, spanish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, passionate aesthetic, typography poster",4.5
cultural_v2_iktsuarpok,Iktsuarpok,inuit,tender,Iktsuarpok — Inuit Word Print Untranslatable Definition Art,"iktsuarpok, inuit word, inuit art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, tender aesthetic, typography poster",4.5
